true_class/predicted_class,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,319,1,0,0,0,0,0,0,0,0
Tomato___Early_blight,1,130,4,1,9,1,4,0,0,0
Tomato___Late_blight,0,5,276,0,4,0,1,0,0,1
Tomato___Leaf_Mold,1,2,1,135,3,0,0,1,0,1
Tomato___Septoria_leaf_spot,2,2,1,2,258,0,2,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,3,220,28,0,1,0
Tomato___Target_Spot,0,0,0,1,3,0,208,0,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,3,1,0,1,0,3,0,474,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,1,0,0,55,1
Tomato___healthy,0,0,0,0,2,1,12,0,0,225
